# Interaction rate with the CMB
# log10(E/eV)	1/lambda_PP [1/Mpc]	1/lambda_ICS [1/Mpc]	1/lambda_DPP [1/Mpc]	1/lambda_TPP [1/Mpc]
12.750	5.995512e-82	3.129405e+00	0.000000e+00	0.000000e+00
12.760	5.192812e-80	3.512052e+00	0.000000e+00	0.000000e+00
12.770	4.056900e-78	3.927237e+00	0.000000e+00	0.000000e+00
12.780	2.865637e-76	4.376137e+00	0.000000e+00	0.000000e+00
12.790	1.834342e-74	4.859846e+00	0.000000e+00	0.000000e+00
12.800	1.066463e-72	5.379370e+00	0.000000e+00	0.000000e+00
12.810	5.643779e-71	5.935622e+00	0.000000e+00	1.324373e-267
12.820	2.724481e-69	6.529428e+00	0.000000e+00	1.878845e-261
12.830	1.202255e-67	7.161519e+00	0.000000e+00	1.927803e-255
12.840	4.859569e-66	7.832542e+00	0.000000e+00	1.441188e-249
12.850	1.802836e-64	8.543058e+00	0.000000e+00	7.906695e-244
12.860	6.150661e-63	9.293549e+00	0.000000e+00	3.205860e-238
12.870	1.933413e-61	1.008442e+01	0.000000e+00	9.672946e-233
12.880	5.610179e-60	1.091602e+01	3.593996e-268	2.186547e-227
12.890	1.505467e-58	1.178862e+01	2.812321e-262	3.727344e-222
12.900	3.742696e-57	1.270246e+01	1.613292e-256	4.822483e-217
12.910	8.635243e-56	1.365770e+01	6.832749e-251	4.765391e-212
12.920	1.852179e-54	1.465448e+01	2.151352e-245	3.618656e-207
12.930	3.699429e-53	1.569291e+01	5.069818e-240	2.124324e-202
12.940	6.891893e-52	1.677306e+01	9.001237e-235	9.697570e-198
12.950	1.199465e-50	1.789498e+01	1.211826e-229	3.462266e-193
12.960	1.953258e-49	1.905869e+01	1.244922e-224	9.721716e-189
12.970	2.980693e-48	2.026420e+01	9.819304e-220	2.158664e-184
12.980	4.268828e-47	2.151149e+01	5.982305e-215	3.810721e-180
12.990	5.746027e-46	2.280055e+01	2.831773e-210	5.376219e-176
13.000	7.279712e-45	2.413134e+01	1.047479e-205	6.092708e-172
13.010	8.692696e-44	2.550379e+01	3.044855e-201	5.574078e-168
13.020	9.796743e-43	2.691783e+01	6.993673e-197	4.136959e-164
13.030	1.043461e-41	2.837338e+01	1.276114e-192	2.502666e-160
13.040	1.051732e-40	2.987031e+01	1.859494e-188	1.239822e-156
13.050	1.004440e-39	3.140850e+01	2.174924e-184	5.052720e-153
13.060	9.100734e-39	3.298777e+01	2.052157e-180	1.701496e-149
13.070	7.832382e-38	3.460793e+01	1.569704e-176	4.755131e-146
13.080	6.410572e-37	3.626875e+01	9.780046e-173	1.107549e-142
13.090	4.995679e-36	3.796997e+01	4.986639e-169	2.158907e-139
13.100	3.710953e-35	3.971128e+01	2.090262e-165	3.536188e-136
13.110	2.630618e-34	4.149235e+01	7.235301e-162	4.886381e-133
13.120	1.781514e-33	4.331278e+01	2.077153e-158	5.718355e-130
13.130	1.153846e-32	4.517214e+01	4.966917e-155	5.688913e-127
13.140	7.154703e-32	4.706995e+01	9.933915e-152	4.829113e-124
