# Interaction rate with the cosmic infrared and optical background radiation model of Stecker at al. 2005
# log10(E/eV)	1/lambda_PP [1/Mpc]	1/lambda_ICS [1/Mpc]	1/lambda_DPP [1/Mpc]	1/lambda_TPP [1/Mpc]
12.750	9.318742e-03	4.756392e-01	3.364850e-08	7.765232e-05
12.760	9.436446e-03	4.111015e-01	3.464064e-08	7.933880e-05
12.770	9.555893e-03	4.213492e-01	3.563698e-08	8.101996e-05
12.780	9.677344e-03	4.310739e-01	3.665223e-08	8.273246e-05
12.790	9.801412e-03	4.398389e-01	3.774246e-08	8.454660e-05
12.800	9.928004e-03	4.490059e-01	3.880020e-08	8.631155e-05
12.810	1.005735e-02	4.585591e-01	3.990248e-08	8.813062e-05
12.820	1.018844e-02	4.685342e-01	4.099636e-08	8.994106e-05
12.830	1.032228e-02	4.781728e-01	4.217012e-08	9.185958e-05
12.840	1.045856e-02	4.879060e-01	4.331323e-08	9.373435e-05
12.850	1.059819e-02	4.656718e-01	4.447137e-08	9.565477e-05
12.860	1.074017e-02	4.758782e-01	4.567167e-08	9.757049e-05
12.870	1.088472e-02	4.864912e-01	4.687276e-08	9.951940e-05
12.880	1.103238e-02	4.967987e-01	4.815248e-08	1.015763e-04
12.890	1.118323e-02	5.067760e-01	4.939954e-08	1.035851e-04
12.900	1.133753e-02	5.171470e-01	5.069342e-08	1.056514e-04
12.910	1.149488e-02	5.279783e-01	5.197741e-08	1.077068e-04
12.920	1.165548e-02	5.376405e-01	5.334488e-08	1.098800e-04
12.930	1.181962e-02	4.707349e-01	5.468203e-08	1.120081e-04
12.940	1.198790e-02	4.807434e-01	5.603473e-08	1.141848e-04
12.950	1.216047e-02	4.912067e-01	5.743108e-08	1.163581e-04
12.960	1.233691e-02	5.019731e-01	5.882773e-08	1.185679e-04
12.970	1.251748e-02	5.131347e-01	6.030668e-08	1.208918e-04
12.980	1.270248e-02	5.234811e-01	6.175287e-08	1.231701e-04
12.990	1.289218e-02	5.336298e-01	6.324774e-08	1.255085e-04
13.000	1.308780e-02	5.187277e-01	6.473119e-08	1.278341e-04
13.010	1.328762e-02	5.294058e-01	6.630146e-08	1.302902e-04
13.020	1.349293e-02	5.404795e-01	6.784184e-08	1.326994e-04
13.030	1.370369e-02	5.508239e-01	6.939845e-08	1.351335e-04
13.040	1.392162e-02	5.605423e-01	7.099986e-08	1.376208e-04
13.050	1.414587e-02	5.706745e-01	7.260063e-08	1.401207e-04
13.060	1.437728e-02	5.812508e-01	7.428751e-08	1.427426e-04
13.070	1.461507e-02	5.177331e-01	7.594161e-08	1.453216e-04
13.080	1.486074e-02	5.278881e-01	7.764653e-08	1.479672e-04
13.090	1.511609e-02	5.381269e-01	7.933789e-08	1.505969e-04
13.100	1.538065e-02	5.488012e-01	8.111919e-08	1.533673e-04
13.110	1.565501e-02	5.595639e-01	8.287127e-08	1.560940e-04
13.120	1.593806e-02	5.706023e-01	8.464054e-08	1.588489e-04
13.130	1.623309e-02	5.510370e-01	8.645555e-08	1.616608e-04
13.140	1.653903e-02	5.615525e-01	8.826871e-08	1.644880e-04
13.150	1.686004e-02	5.713864e-01	9.017211e-08	1.674477e-04
13.160	1.719124e-02	5.813182e-01	9.204291e-08	1.703676e-04
13.170	1.753644e-02	5.916579e-01	9.396655e-08	1.733619e-04
13.180	1.789710e-02	5.313743e-01	9.587470e-08	1.763376e-04
13.190	1.827529e-02	5.418701e-01	9.787584e-08	1.794647e-04
13.200	1.867077e-02	5.527628e-01	9.984873e-08	1.825528e-04
13.210	1.908216e-02	5.638777e-01	1.018403e-07	1.856745e-04
13.220	1.951295e-02	5.739024e-01	1.038784e-07	1.888586e-04
13.230	1.996308e-02	5.603796e-01	1.059133e-07	1.920595e-04
13.240	2.043958e-02	5.702444e-01	1.080430e-07	1.954053e-04
13.250	2.093621e-02	5.803999e-01	1.101406e-07	1.987144e-04
13.260	2.145768e-02	5.904432e-01	1.122937e-07	2.021085e-04
13.270	2.200473e-02	6.006046e-01	1.144292e-07	2.054813e-04
13.280	2.258209e-02	5.441709e-01	1.166608e-07	2.090169e-04
13.290	2.318926e-02	5.551353e-01	1.188656e-07	2.125193e-04
13.300	2.382726e-02	5.647416e-01	1.210913e-07	2.160634e-04
13.310	2.449692e-02	5.742107e-01	1.233648e-07	2.196761e-04
13.320	2.520048e-02	5.566089e-01	1.256337e-07	2.233073e-04
13.330	2.594680e-02	5.667549e-01	1.280025e-07	2.270973e-04
13.340	2.673015e-02	5.764191e-01	1.303405e-07	2.308544e-04
13.350	2.755523e-02	5.864625e-01	1.327369e-07	2.347093e-04
13.360	2.842090e-02	5.963008e-01	1.351146e-07	2.385415e-04
13.370	2.933592e-02	5.426206e-01	1.375916e-07	2.425518e-04
13.380	3.029850e-02	5.519979e-01	1.400438e-07	2.465316e-04
13.390	3.131446e-02	5.615710e-01	1.425204e-07	2.505632e-04
