# Interaction rate with the URB_Protheroe96
# log10(E/eV)	1/lambda_PP [1/Mpc]	1/lambda_ICS [1/Mpc]	1/lambda_DPP [1/Mpc]	1/lambda_TPP [1/Mpc]
12.750	2.115277e-15	9.688120e-12	1.283948e-22	8.159930e-19
12.760	2.229677e-15	1.023510e-11	1.351723e-22	8.593817e-19
12.770	2.350297e-15	1.081311e-11	1.423089e-22	9.050875e-19
12.780	2.477477e-15	1.142392e-11	1.498236e-22	9.532345e-19
12.790	2.611574e-15	1.206938e-11	1.577367e-22	1.003954e-18
12.800	2.752967e-15	1.275148e-11	1.660693e-22	1.057383e-18
12.810	2.902056e-15	1.347231e-11	1.748437e-22	1.113669e-18
12.820	3.059262e-15	1.423407e-11	1.840834e-22	1.172963e-18
12.830	3.225028e-15	1.503909e-11	1.938132e-22	1.235429e-18
12.840	3.399824e-15	1.588985e-11	2.040593e-22	1.301236e-18
12.850	3.584143e-15	1.678896e-11	2.148491e-22	1.370563e-18
12.860	3.778509e-15	1.773916e-11	2.262116e-22	1.443600e-18
12.870	3.983471e-15	1.874338e-11	2.381774e-22	1.520547e-18
12.880	4.199609e-15	1.980470e-11	2.507785e-22	1.601614e-18
12.890	4.427538e-15	2.092637e-11	2.640489e-22	1.687021e-18
12.900	4.667903e-15	2.211185e-11	2.780243e-22	1.777004e-18
12.910	4.921388e-15	2.336478e-11	2.927422e-22	1.871808e-18
12.920	5.188711e-15	2.468901e-11	3.082423e-22	1.971692e-18
12.930	5.470632e-15	2.608861e-11	3.245664e-22	2.076931e-18
12.940	5.767953e-15	2.756789e-11	3.417584e-22	2.187812e-18
12.950	6.081521e-15	2.913141e-11	3.598646e-22	2.304640e-18
12.960	6.412226e-15	3.078396e-11	3.789340e-22	2.427735e-18
12.970	6.761012e-15	3.253066e-11	3.990179e-22	2.557435e-18
12.980	7.128872e-15	3.437687e-11	4.201706e-22	2.694096e-18
12.990	7.516856e-15	3.632829e-11	4.424491e-22	2.838094e-18
13.000	7.926069e-15	3.839094e-11	4.659137e-22	2.989824e-18
13.010	8.357680e-15	4.057117e-11	4.906278e-22	3.149703e-18
13.020	8.812922e-15	4.287571e-11	5.166582e-22	3.318171e-18
13.030	9.293095e-15	4.531168e-11	5.440754e-22	3.495693e-18
13.040	9.799574e-15	4.788660e-11	5.729534e-22	3.682756e-18
13.050	1.033381e-14	5.060842e-11	6.033707e-22	3.879877e-18
13.060	1.089732e-14	5.348554e-11	6.354094e-22	4.087599e-18
13.070	1.149173e-14	5.652686e-11	6.691565e-22	4.306494e-18
13.080	1.211874e-14	5.974178e-11	7.047034e-22	4.537167e-18
13.090	1.278015e-14	6.314025e-11	7.421466e-22	4.780255e-18
13.100	1.347786e-14	6.673276e-11	7.815877e-22	5.036429e-18
13.110	1.421386e-14	7.053045e-11	8.231338e-22	5.306396e-18
13.120	1.499028e-14	7.454506e-11	8.668977e-22	5.590905e-18
13.130	1.580934e-14	7.878902e-11	9.129984e-22	5.890741e-18
13.140	1.667339e-14	8.327547e-11	9.615612e-22	6.206735e-18
13.150	1.758494e-14	8.801832e-11	1.012718e-21	6.539762e-18
13.160	1.854659e-14	9.303225e-11	1.066609e-21	6.890744e-18
13.170	1.956112e-14	9.833282e-11	1.123379e-21	7.260655e-18
13.180	2.063145e-14	1.039364e-10	1.183184e-21	7.650521e-18
13.190	2.176067e-14	1.098605e-10	1.246188e-21	8.061423e-18
13.200	2.295204e-14	1.161234e-10	1.312560e-21	8.494502e-18
13.210	2.420899e-14	1.227445e-10	1.382484e-21	8.950963e-18
13.220	2.553517e-14	1.297444e-10	1.456148e-21	9.432072e-18
13.230	2.693439e-14	1.371448e-10	1.533756e-21	9.939169e-18
13.240	2.841070e-14	1.449687e-10	1.615517e-21	1.047366e-17
13.250	2.996838e-14	1.532404e-10	1.701657e-21	1.103705e-17
13.260	3.161194e-14	1.619856e-10	1.792411e-21	1.163088e-17
13.270	3.334614e-14	1.712315e-10	1.888026e-21	1.225683e-17
13.280	3.517600e-14	1.810068e-10	1.988765e-21	1.291663e-17
13.290	3.710683e-14	1.913418e-10	2.094903e-21	1.361213e-17
13.300	3.914424e-14	2.022687e-10	2.206732e-21	1.434527e-17
13.310	4.129413e-14	2.138216e-10	2.324557e-21	1.511810e-17
13.320	4.356275e-14	2.260362e-10	2.448702e-21	1.593276e-17
13.330	4.595670e-14	2.389507e-10	2.579508e-21	1.679155e-17
13.340	4.848294e-14	2.526052e-10	2.717333e-21	1.769687e-17
13.350	5.114881e-14	2.670421e-10	2.862556e-21	1.865124e-17
13.360	5.396209e-14	2.823065e-10	3.015577e-21	1.965735e-17
13.370	5.693096e-14	2.984459e-10	3.176815e-21	2.071800e-17
13.380	6.006408e-14	3.155104e-10	3.346714e-21	2.183618e-17
13.390	6.337059e-14	3.335533e-10	3.525743e-21	2.301502e-17
