# Loss rate for electron-pair production with the cosmic infrared and optical background radiation model of Dole et al. 2006
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	1.133350e-09
6.05	1.371393e-09
6.10	1.649702e-09
6.15	1.971670e-09
6.20	2.339901e-09
6.25	2.755907e-09
6.30	3.219922e-09
6.35	3.730850e-09
6.40	4.285966e-09
6.45	4.881206e-09
6.50	5.511155e-09
6.55	6.169274e-09
6.60	6.848244e-09
6.65	7.540524e-09
6.70	8.239065e-09
6.75	8.938343e-09
6.80	9.635126e-09
6.85	1.032905e-08
6.90	1.102270e-08
6.95	1.172177e-08
7.00	1.243450e-08
7.05	1.317142e-08
7.10	1.394521e-08
7.15	1.477138e-08
7.20	1.566909e-08
7.25	1.666295e-08
7.30	1.778480e-08
7.35	1.907618e-08
7.40	2.059167e-08
7.45	2.240105e-08
7.50	2.459388e-08
7.55	2.728371e-08
7.60	3.061567e-08
7.65	3.477963e-08
7.70	4.002909e-08
7.75	4.669434e-08
7.80	5.518804e-08
7.85	6.601063e-08
7.90	7.974613e-08
7.95	9.705508e-08
8.00	1.186549e-07
8.05	1.453186e-07
8.10	1.777465e-07
8.15	2.165317e-07
8.20	2.620552e-07
8.25	3.145052e-07
8.30	3.738137e-07
8.35	4.397090e-07
8.40	5.116871e-07
8.45	5.890044e-07
8.50	6.706500e-07
8.55	7.554966e-07
8.60	8.422643e-07
8.65	9.295903e-07
8.70	1.016130e-06
8.75	1.100590e-06
8.80	1.181729e-06
8.85	1.258435e-06
8.90	1.329738e-06
8.95	1.394826e-06
9.00	1.453078e-06
9.05	1.504031e-06
9.10	1.547366e-06
9.15	1.582985e-06
9.20	1.610857e-06
9.25	1.631138e-06
9.30	1.644040e-06
9.35	1.649797e-06
9.40	1.648868e-06
9.45	1.641625e-06
9.50	1.628545e-06
9.55	1.610130e-06
9.60	1.586853e-06
9.65	1.559221e-06
9.70	1.527739e-06
9.75	1.492886e-06
9.80	1.455148e-06
9.85	1.414977e-06
9.90	1.372802e-06
9.95	1.329026e-06
10.00	1.284027e-06
10.05	1.238151e-06
10.10	1.191717e-06
10.15	1.145016e-06
10.20	1.098306e-06
10.25	1.051822e-06
10.30	1.005769e-06
10.35	9.603294e-07
10.40	9.156602e-07
10.45	8.718973e-07
10.50	8.291559e-07
10.55	7.875326e-07
10.60	7.471066e-07
10.65	7.079412e-07
10.70	6.700855e-07
10.75	6.335758e-07
10.80	5.984365e-07
10.85	5.646817e-07
10.90	5.323163e-07
10.95	5.013368e-07
11.00	4.717328e-07
11.05	4.434876e-07
11.10	4.165789e-07
11.15	3.909801e-07
11.20	3.666604e-07
11.25	3.435862e-07
11.30	3.217208e-07
11.35	3.010257e-07
11.40	2.814603e-07
11.45	2.629845e-07
11.50	2.455555e-07
11.55	2.291309e-07
11.60	2.136680e-07
11.65	1.991245e-07
11.70	1.854582e-07
11.75	1.726277e-07
11.80	1.605921e-07
11.85	1.493115e-07
11.90	1.387472e-07
11.95	1.288613e-07
12.00	1.196172e-07
12.05	1.109796e-07
12.10	1.029145e-07
12.15	9.538901e-08
12.20	8.837182e-08
12.25	8.183281e-08
12.30	7.574325e-08
12.35	7.007573e-08
12.40	6.480415e-08
12.45	5.990370e-08
12.50	5.535082e-08
12.55	5.112331e-08
12.60	4.719980e-08
12.65	4.356044e-08
12.70	4.018638e-08
12.75	3.705982e-08
12.80	3.416402e-08
12.85	3.148322e-08
12.90	2.900260e-08
12.95	2.670824e-08
13.00	2.458709e-08
13.05	2.262693e-08
13.10	2.081629e-08
13.15	1.914489e-08
13.20	1.760180e-08
13.25	1.617813e-08
13.30	1.486516e-08
13.35	1.365472e-08
13.40	1.253922e-08
13.45	1.151158e-08
13.50	1.056521e-08
13.55	9.693998e-09
13.60	8.892233e-09
13.65	8.154628e-09
13.70	7.476269e-09
13.75	6.852594e-09
13.80	6.279374e-09
13.85	5.752689e-09
13.90	5.268905e-09
13.95	4.824659e-09
14.00	4.416836e-09
