# Loss rate for electron-pair production with the cosmic infrared and optical background radiation model of Franceschini et al. 2008
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	1.254922e-09
6.05	1.562818e-09
6.10	1.926634e-09
6.15	2.351036e-09
6.20	2.839610e-09
6.25	3.394555e-09
6.30	4.016461e-09
6.35	4.704218e-09
6.40	5.455009e-09
6.45	6.264404e-09
6.50	7.126748e-09
6.55	8.035421e-09
6.60	8.983136e-09
6.65	9.962359e-09
6.70	1.096581e-08
6.75	1.198705e-08
6.80	1.302129e-08
6.85	1.406626e-08
6.90	1.512343e-08
6.95	1.619834e-08
7.00	1.730142e-08
7.05	1.844724e-08
7.10	1.965412e-08
7.15	2.094466e-08
7.20	2.234629e-08
7.25	2.389449e-08
7.30	2.563464e-08
7.35	2.762753e-08
7.40	2.996111e-08
7.45	3.275655e-08
7.50	3.617070e-08
7.55	4.039607e-08
7.60	4.567305e-08
7.65	5.231262e-08
7.70	6.072458e-08
7.75	7.145201e-08
7.80	8.520512e-08
7.85	1.028905e-07
7.90	1.256110e-07
7.95	1.546552e-07
8.00	1.914425e-07
8.05	2.374442e-07
8.10	2.940767e-07
8.15	3.625834e-07
8.20	4.439289e-07
8.25	5.387038e-07
8.30	6.470514e-07
8.35	7.686176e-07
8.40	9.025486e-07
8.45	1.047465e-06
8.50	1.201571e-06
8.55	1.362702e-06
8.60	1.528443e-06
8.65	1.696190e-06
8.70	1.863284e-06
8.75	2.027028e-06
8.80	2.184936e-06
8.85	2.334714e-06
8.90	2.474327e-06
8.95	2.602180e-06
9.00	2.716954e-06
9.05	2.817718e-06
9.10	2.903873e-06
9.15	2.975128e-06
9.20	3.031457e-06
9.25	3.073095e-06
9.30	3.100441e-06
9.35	3.114084e-06
9.40	3.114740e-06
9.45	3.103217e-06
9.50	3.080394e-06
9.55	3.047205e-06
9.60	3.004613e-06
9.65	2.953576e-06
9.70	2.895048e-06
9.75	2.829998e-06
9.80	2.759328e-06
9.85	2.683906e-06
9.90	2.604564e-06
9.95	2.522081e-06
10.00	2.437185e-06
10.05	2.350547e-06
10.10	2.262781e-06
10.15	2.174445e-06
10.20	2.086040e-06
10.25	1.998015e-06
10.30	1.910767e-06
10.35	1.824645e-06
10.40	1.739956e-06
10.45	1.656957e-06
10.50	1.575873e-06
10.55	1.496889e-06
10.60	1.420160e-06
10.65	1.345809e-06
10.70	1.273930e-06
10.75	1.204595e-06
10.80	1.137853e-06
10.85	1.073730e-06
10.90	1.012239e-06
10.95	9.533739e-07
11.00	8.971158e-07
11.05	8.434347e-07
11.10	7.922891e-07
11.15	7.436288e-07
11.20	6.973965e-07
11.25	6.535284e-07
11.30	6.119558e-07
11.35	5.726059e-07
11.40	5.354029e-07
11.45	5.002686e-07
11.50	4.671235e-07
11.55	4.358870e-07
11.60	4.064784e-07
11.65	3.788171e-07
11.70	3.528234e-07
11.75	3.284184e-07
11.80	3.055248e-07
11.85	2.840669e-07
11.90	2.639708e-07
11.95	2.451648e-07
12.00	2.275794e-07
12.05	2.111475e-07
12.10	1.958043e-07
12.15	1.814875e-07
12.20	1.681374e-07
12.25	1.556970e-07
12.30	1.441114e-07
12.35	1.333287e-07
12.40	1.232992e-07
12.45	1.139756e-07
12.50	1.053133e-07
12.55	9.726979e-08
12.60	8.980483e-08
12.65	8.288047e-08
12.70	7.646082e-08
12.75	7.051207e-08
12.80	6.500234e-08
12.85	5.990167e-08
12.90	5.518185e-08
12.95	5.081643e-08
13.00	4.678057e-08
13.05	4.305099e-08
13.10	3.960591e-08
13.15	3.642493e-08
13.20	3.348899e-08
13.25	3.078027e-08
13.30	2.828215e-08
13.35	2.597911e-08
13.40	2.385672e-08
13.45	2.190150e-08
13.50	2.010092e-08
13.55	1.844332e-08
13.60	1.691787e-08
13.65	1.551449e-08
13.70	1.422383e-08
13.75	1.303722e-08
13.80	1.194661e-08
13.85	1.094454e-08
13.90	1.002410e-08
13.95	9.178883e-09
14.00	8.402969e-09
