# Loss rate for electron-pair production with the cosmic infrared and optical background radiation model of Kneiske et al. 2004
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	1.688525e-09
6.05	2.104801e-09
6.10	2.604121e-09
6.15	3.195897e-09
6.20	3.888200e-09
6.25	4.687176e-09
6.30	5.596427e-09
6.35	6.616591e-09
6.40	7.745143e-09
6.45	8.976336e-09
6.50	1.030155e-08
6.55	1.170981e-08
6.60	1.318857e-08
6.65	1.472487e-08
6.70	1.630636e-08
6.75	1.792253e-08
6.80	1.956565e-08
6.85	2.123222e-08
6.90	2.292257e-08
6.95	2.464216e-08
7.00	2.640036e-08
7.05	2.820998e-08
7.10	3.008640e-08
7.15	3.204553e-08
7.20	3.410448e-08
7.25	3.627964e-08
7.30	3.858797e-08
7.35	4.104682e-08
7.40	4.367988e-08
7.45	4.652287e-08
7.50	4.963336e-08
7.55	5.310383e-08
7.60	5.708359e-08
7.65	6.180532e-08
7.70	6.763145e-08
7.75	7.509127e-08
7.80	8.493788e-08
7.85	9.817774e-08
7.90	1.160374e-07
7.95	1.399028e-07
8.00	1.712275e-07
8.05	2.114531e-07
8.10	2.618901e-07
8.15	3.236527e-07
8.20	3.975327e-07
8.25	4.839624e-07
8.30	5.829462e-07
8.35	6.940452e-07
8.40	8.163685e-07
8.45	9.486502e-07
8.50	1.089266e-06
8.55	1.236246e-06
8.60	1.387523e-06
8.65	1.540828e-06
8.70	1.693907e-06
8.75	1.844535e-06
8.80	1.990619e-06
8.85	2.130189e-06
8.90	2.261551e-06
8.95	2.383196e-06
9.00	2.493935e-06
9.05	2.592785e-06
9.10	2.679054e-06
9.15	2.752251e-06
9.20	2.812249e-06
9.25	2.858966e-06
9.30	2.892622e-06
9.35	2.913583e-06
9.40	2.922345e-06
9.45	2.919540e-06
9.50	2.905862e-06
9.55	2.882104e-06
9.60	2.849079e-06
9.65	2.807641e-06
9.70	2.758651e-06
9.75	2.702969e-06
9.80	2.641433e-06
9.85	2.574864e-06
9.90	2.504046e-06
9.95	2.429718e-06
10.00	2.352579e-06
10.05	2.273286e-06
10.10	2.192442e-06
10.15	2.110600e-06
10.20	2.028265e-06
10.25	1.945893e-06
10.30	1.863893e-06
10.35	1.782628e-06
10.40	1.702419e-06
10.45	1.623544e-06
10.50	1.546245e-06
10.55	1.470726e-06
10.60	1.397160e-06
10.65	1.325689e-06
10.70	1.256427e-06
10.75	1.189461e-06
10.80	1.124857e-06
10.85	1.062663e-06
10.90	1.002905e-06
10.95	9.455899e-07
11.00	8.907155e-07
11.05	8.382646e-07
11.10	7.882088e-07
11.15	7.405103e-07
11.20	6.951230e-07
11.25	6.519938e-07
11.30	6.110640e-07
11.35	5.722700e-07
11.40	5.355444e-07
11.45	5.008171e-07
11.50	4.680157e-07
11.55	4.370665e-07
11.60	4.078948e-07
11.65	3.804259e-07
11.70	3.545849e-07
11.75	3.302980e-07
11.80	3.074918e-07
11.85	2.860947e-07
11.90	2.660363e-07
11.95	2.472479e-07
12.00	2.296630e-07
12.05	2.132169e-07
12.10	1.978472e-07
12.15	1.834936e-07
12.20	1.700982e-07
12.25	1.576055e-07
12.30	1.459622e-07
12.35	1.351175e-07
12.40	1.250228e-07
12.45	1.156319e-07
12.50	1.069008e-07
12.55	9.878771e-08
12.60	9.125315e-08
12.65	8.425959e-08
12.70	7.777160e-08
12.75	7.175572e-08
12.80	6.618037e-08
12.85	6.101582e-08
12.90	5.623406e-08
12.95	5.180878e-08
13.00	4.771526e-08
13.05	4.393030e-08
13.10	4.043216e-08
13.15	3.720046e-08
13.20	3.421614e-08
13.25	3.146138e-08
13.30	2.891952e-08
13.35	2.657502e-08
13.40	2.441336e-08
13.45	2.242102e-08
13.50	2.058541e-08
13.55	1.889479e-08
13.60	1.733825e-08
13.65	1.590565e-08
13.70	1.458755e-08
13.75	1.337520e-08
13.80	1.226046e-08
13.85	1.123581e-08
13.90	1.029424e-08
13.95	9.429292e-09
14.00	8.634954e-09
