# Loss rate for electron-pair production with the cosmic infrared and optical background radiation lower limit model of Kneiske et al. 2010
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.00	1.113886e-09
6.05	1.369729e-09
6.10	1.669481e-09
6.15	2.016397e-09
6.20	2.412807e-09
6.25	2.859947e-09
6.30	3.357803e-09
6.35	3.905017e-09
6.40	4.498881e-09
6.45	5.135286e-09
6.50	5.809036e-09
6.55	6.514073e-09
6.60	7.243751e-09
6.65	7.991981e-09
6.70	8.753365e-09
6.75	9.523966e-09
6.80	1.030180e-08
6.85	1.108775e-08
6.90	1.188568e-08
6.95	1.270276e-08
7.00	1.354901e-08
7.05	1.443645e-08
7.10	1.537858e-08
7.15	1.638893e-08
7.20	1.748069e-08
7.25	1.866608e-08
7.30	1.995638e-08
7.35	2.136249e-08
7.40	2.289779e-08
7.45	2.458190e-08
7.50	2.644970e-08
7.55	2.856131e-08
7.60	3.101839e-08
7.65	3.398585e-08
7.70	3.771230e-08
7.75	4.255890e-08
7.80	4.901083e-08
7.85	5.768856e-08
7.90	6.933028e-08
7.95	8.475930e-08
8.00	1.048325e-07
8.05	1.303710e-07
8.10	1.621011e-07
8.15	2.005962e-07
8.20	2.462203e-07
8.25	2.991054e-07
8.30	3.591093e-07
8.35	4.258309e-07
8.40	4.985961e-07
8.45	5.765070e-07
8.50	6.584834e-07
8.55	7.432861e-07
8.60	8.296141e-07
8.65	9.161128e-07
8.70	1.001423e-06
8.75	1.084232e-06
8.80	1.163325e-06
8.85	1.237625e-06
8.90	1.306217e-06
8.95	1.368363e-06
9.00	1.423510e-06
9.05	1.471272e-06
9.10	1.511437e-06
9.15	1.543926e-06
9.20	1.568808e-06
9.25	1.586238e-06
9.30	1.596490e-06
9.35	1.599889e-06
9.40	1.596833e-06
9.45	1.587762e-06
9.50	1.573148e-06
9.55	1.553471e-06
9.60	1.529231e-06
9.65	1.500920e-06
9.70	1.469031e-06
9.75	1.434045e-06
9.80	1.396417e-06
9.85	1.356580e-06
9.90	1.314949e-06
9.95	1.271907e-06
10.00	1.227812e-06
10.05	1.182994e-06
10.10	1.137752e-06
10.15	1.092356e-06
10.20	1.047050e-06
10.25	1.002050e-06
10.30	9.575467e-07
10.35	9.137063e-07
10.40	8.706735e-07
10.45	8.285717e-07
10.50	7.875055e-07
10.55	7.475610e-07
10.60	7.088087e-07
10.65	6.713041e-07
10.70	6.350895e-07
10.75	6.001950e-07
10.80	5.666400e-07
10.85	5.344340e-07
10.90	5.035783e-07
10.95	4.740663e-07
11.00	4.458851e-07
11.05	4.190160e-07
11.10	3.934354e-07
11.15	3.691155e-07
11.20	3.460251e-07
11.25	3.241300e-07
11.30	3.033938e-07
11.35	2.837782e-07
11.40	2.652437e-07
11.45	2.477498e-07
11.50	2.312552e-07
11.55	2.157185e-07
11.60	2.010984e-07
11.65	1.873536e-07
11.70	1.744435e-07
11.75	1.623280e-07
11.80	1.509677e-07
11.85	1.403244e-07
11.90	1.303606e-07
11.95	1.210402e-07
12.00	1.123281e-07
12.05	1.041905e-07
12.10	9.659478e-08
12.15	8.950970e-08
12.20	8.290530e-08
12.25	7.675292e-08
12.30	7.102518e-08
12.35	6.569602e-08
12.40	6.074062e-08
12.45	5.613541e-08
12.50	5.185803e-08
12.55	4.788732e-08
12.60	4.420323e-08
12.65	4.078684e-08
12.70	3.762030e-08
12.75	3.468678e-08
12.80	3.197043e-08
12.85	2.945635e-08
12.90	2.713054e-08
12.95	2.497987e-08
13.00	2.299200e-08
13.05	2.115539e-08
13.10	1.945925e-08
13.15	1.789346e-08
13.20	1.644859e-08
13.25	1.511580e-08
13.30	1.388688e-08
13.35	1.275415e-08
13.40	1.171045e-08
13.45	1.074915e-08
13.50	9.864029e-09
13.55	9.049340e-09
13.60	8.299728e-09
13.65	7.610220e-09
13.70	6.976200e-09
13.75	6.393387e-09
13.80	5.857810e-09
13.85	5.365789e-09
13.90	4.913919e-09
13.95	4.499040e-09
14.00	4.118234e-09
