# Loss rate for electron-pair production with the cosmic infrared and optical background radiation model of Stecker at al. 2005
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
6.10	2.186812e-12
6.15	1.274676e-11
6.20	4.397606e-11
6.25	1.129378e-10
6.30	2.400154e-10
6.35	4.471600e-10
6.40	7.562766e-10
6.45	1.187922e-09
6.50	1.760385e-09
6.55	2.489156e-09
6.60	3.386774e-09
6.65	4.462974e-09
6.70	5.725085e-09
6.75	7.178581e-09
6.80	8.827714e-09
6.85	1.067619e-08
6.90	1.272781e-08
6.95	1.498706e-08
7.00	1.745971e-08
7.05	2.015306e-08
7.10	2.307708e-08
7.15	2.624413e-08
7.20	2.966668e-08
7.25	3.336243e-08
7.30	3.735270e-08
7.35	4.166440e-08
7.40	4.633303e-08
7.45	5.140710e-08
7.50	5.695569e-08
7.55	6.307766e-08
7.60	6.991469e-08
7.65	7.766656e-08
7.70	8.661014e-08
7.75	9.712035e-08
7.80	1.096925e-07
7.85	1.249616e-07
7.90	1.437174e-07
7.95	1.669075e-07
8.00	1.956223e-07
8.05	2.310611e-07
8.10	2.744726e-07
8.15	3.270758e-07
8.20	3.899662e-07
8.25	4.640044e-07
8.30	5.495902e-07
8.35	6.463647e-07
8.40	7.531589e-07
8.45	8.681315e-07
8.50	9.889814e-07
8.55	1.113167e-06
8.60	1.238101e-06
8.65	1.361302e-06
8.70	1.480507e-06
8.75	1.593740e-06
8.80	1.699351e-06
8.85	1.796023e-06
8.90	1.882772e-06
8.95	1.958917e-06
9.00	2.024054e-06
9.05	2.078025e-06
9.10	2.120882e-06
9.15	2.152848e-06
9.20	2.174289e-06
9.25	2.185685e-06
9.30	2.187541e-06
9.35	2.180428e-06
9.40	2.165165e-06
9.45	2.142379e-06
9.50	2.112748e-06
9.55	2.076980e-06
9.60	2.035786e-06
9.65	1.989866e-06
9.70	1.939900e-06
9.75	1.886535e-06
9.80	1.830382e-06
9.85	1.772009e-06
9.90	1.711943e-06
9.95	1.650666e-06
10.00	1.588618e-06
10.05	1.526196e-06
10.10	1.463755e-06
10.15	1.401612e-06
10.20	1.340047e-06
10.25	1.279306e-06
10.30	1.219601e-06
10.35	1.161115e-06
10.40	1.104003e-06
10.45	1.048394e-06
10.50	9.943946e-07
10.55	9.420892e-07
10.60	8.915433e-07
10.65	8.428048e-07
10.70	7.959058e-07
10.75	7.508647e-07
10.80	7.076874e-07
10.85	6.663685e-07
10.90	6.268935e-07
10.95	5.892392e-07
11.00	5.533752e-07
11.05	5.192653e-07
11.10	4.868677e-07
11.15	4.561365e-07
11.20	4.270225e-07
11.25	3.994735e-07
11.30	3.734354e-07
11.35	3.488525e-07
11.40	3.256681e-07
11.45	3.038250e-07
11.50	2.832659e-07
11.55	2.639338e-07
11.60	2.457720e-07
11.65	2.287248e-07
11.70	2.127376e-07
11.75	1.977569e-07
11.80	1.837305e-07
11.85	1.706079e-07
11.90	1.583400e-07
11.95	1.468795e-07
12.00	1.361810e-07
12.05	1.262005e-07
12.10	1.168961e-07
12.15	1.082276e-07
12.20	1.001566e-07
12.25	9.264654e-08
12.30	8.566259e-08
12.35	7.917165e-08
12.40	7.314230e-08
12.45	6.754479e-08
12.50	6.235097e-08
12.55	5.753423e-08
12.60	5.306946e-08
12.65	4.893299e-08
12.70	4.510253e-08
12.75	4.155711e-08
12.80	3.827701e-08
12.85	3.524376e-08
12.90	3.244000e-08
12.95	2.984947e-08
13.00	2.745696e-08
13.05	2.524823e-08
13.10	2.320999e-08
13.15	2.132980e-08
13.20	1.959607e-08
13.25	1.799800e-08
13.30	1.652549e-08
13.35	1.516918e-08
13.40	1.392034e-08
13.45	1.277083e-08
13.50	1.171311e-08
13.55	1.074019e-08
13.60	9.845534e-09
13.65	9.023121e-09
13.70	8.267348e-09
13.75	7.573026e-09
13.80	6.935348e-09
13.85	6.349864e-09
13.90	5.812456e-09
13.95	5.319315e-09
14.00	4.866919e-09
