# Loss rate for electron-pair production with the cosmic radio background radiation model of Biermann et al. 1996
# log10(gamma)	1/gamma dgamma/dx [1/Mpc]
10.65	3.598348e-12
10.70	1.148354e-11
10.75	2.813876e-11
10.80	5.803152e-11
10.85	1.060596e-10
10.90	1.773319e-10
10.95	2.769947e-10
11.00	4.101540e-10
11.05	5.819163e-10
11.10	7.973914e-10
11.15	1.061612e-09
11.20	1.379527e-09
11.25	1.756040e-09
11.30	2.196106e-09
11.35	2.704855e-09
11.40	3.287687e-09
11.45	3.950371e-09
11.50	4.699119e-09
11.55	5.540682e-09
11.60	6.482676e-09
11.65	7.533185e-09
11.70	8.700982e-09
11.75	9.996030e-09
11.80	1.142910e-08
11.85	1.301203e-08
11.90	1.475780e-08
11.95	1.668092e-08
12.00	1.879740e-08
12.05	2.112486e-08
12.10	2.368227e-08
12.15	2.649125e-08
12.20	2.957625e-08
12.25	3.296489e-08
12.30	3.668839e-08
12.35	4.078051e-08
12.40	4.527805e-08
12.45	5.022061e-08
12.50	5.564973e-08
12.55	6.161166e-08
12.60	6.815642e-08
12.65	7.533905e-08
12.70	8.322091e-08
12.75	9.186756e-08
12.80	1.013512e-07
12.85	1.117497e-07
12.90	1.231480e-07
12.95	1.356376e-07
13.00	1.493199e-07
13.05	1.643016e-07
13.10	1.807041e-07
13.15	1.986527e-07
13.20	2.182871e-07
13.25	2.397566e-07
13.30	2.632145e-07
13.35	2.888237e-07
13.40	3.167493e-07
13.45	3.471561e-07
13.50	3.802079e-07
13.55	4.161055e-07
13.60	4.549945e-07
13.65	4.970694e-07
13.70	5.425173e-07
13.75	5.915244e-07
13.80	6.442731e-07
13.85	7.009501e-07
13.90	7.617448e-07
13.95	8.268073e-07
14.00	8.963190e-07
