# Photo-pion interaction rate with the cosmic infrared and optical background radiation model of Dole et al. 2006
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	0.000000e+00	0.000000e+00
6.80	1.943724e-13	4.563098e-13
6.84	2.921232e-11	3.495710e-11
6.88	1.751555e-10	1.938859e-10
6.92	5.281022e-10	5.680315e-10
6.96	1.176140e-09	1.248087e-09
7.00	2.220915e-09	2.341547e-09
7.04	3.802685e-09	3.999184e-09
7.08	6.125721e-09	6.440638e-09
7.12	9.446306e-09	9.939233e-09
7.16	1.394779e-08	1.467474e-08
7.20	1.955305e-08	2.054731e-08
7.24	2.611018e-08	2.739393e-08
7.28	3.359391e-08	3.518767e-08
7.32	4.208988e-08	4.401398e-08
7.36	5.178754e-08	5.406115e-08
7.40	6.298088e-08	6.561352e-08
7.44	7.600316e-08	7.899799e-08
7.48	9.123423e-08	9.459632e-08
7.52	1.091121e-07	1.128409e-07
7.56	1.300151e-07	1.341162e-07
7.60	1.544253e-07	1.589148e-07
7.64	1.830032e-07	1.878853e-07
7.68	2.164980e-07	2.218018e-07
7.72	2.557041e-07	2.615188e-07
7.76	3.015189e-07	3.079686e-07
7.80	3.549730e-07	3.622042e-07
7.84	4.172479e-07	4.254258e-07
7.88	4.896381e-07	4.989475e-07
7.92	5.734765e-07	5.841181e-07
7.96	6.700996e-07	6.822831e-07
8.00	7.807205e-07	7.946486e-07
8.04	9.063769e-07	9.222307e-07
8.08	1.048007e-06	1.065935e-06
8.12	1.206294e-06	1.226387e-06
8.16	1.381223e-06	1.403468e-06
8.20	1.571905e-06	1.596120e-06
8.24	1.776759e-06	1.802551e-06
8.28	1.993600e-06	2.020320e-06
8.32	2.219860e-06	2.246568e-06
8.36	2.452594e-06	2.478037e-06
8.40	2.688080e-06	2.710663e-06
8.44	2.921672e-06	2.939380e-06
8.48	3.148437e-06	3.158831e-06
8.52	3.364170e-06	3.364510e-06
8.56	3.565676e-06	3.553049e-06
8.60	3.750600e-06	3.722003e-06
8.64	3.917162e-06	3.869603e-06
8.68	4.064228e-06	3.994927e-06
8.72	4.191333e-06	4.097868e-06
8.76	4.298601e-06	4.178997e-06
8.80	4.388176e-06	4.241082e-06
8.84	4.465392e-06	4.290241e-06
8.88	4.537137e-06	4.334176e-06
8.92	4.610627e-06	4.381044e-06
8.96	4.694281e-06	4.440336e-06
9.00	4.798386e-06	4.523444e-06
9.04	4.935913e-06	4.644503e-06
9.08	5.120587e-06	4.818363e-06
9.12	5.360857e-06	5.054210e-06
9.16	5.658577e-06	5.353974e-06
9.20	6.013121e-06	5.716437e-06
9.24	6.423063e-06	6.139381e-06
9.28	6.889291e-06	6.622859e-06
9.32	7.419402e-06	7.173182e-06
9.36	8.027787e-06	7.803399e-06
9.40	8.734757e-06	8.532917e-06
9.44	9.569905e-06	9.390958e-06
9.48	1.057267e-05	1.041740e-05
9.52	1.179225e-05	1.166262e-05
