# Photo-pion interaction rate with the cosmic infrared and optical background radiation model of Franceschini et al. 2008
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	0.000000e+00	0.000000e+00
6.80	0.000000e+00	0.000000e+00
6.84	0.000000e+00	0.000000e+00
6.88	0.000000e+00	0.000000e+00
6.92	0.000000e+00	0.000000e+00
6.96	0.000000e+00	0.000000e+00
7.00	0.000000e+00	0.000000e+00
7.04	0.000000e+00	0.000000e+00
7.08	0.000000e+00	0.000000e+00
7.12	1.360892e-11	1.746818e-11
7.16	2.142542e-10	2.358259e-10
7.20	9.342109e-10	9.912511e-10
7.24	2.541671e-09	2.659452e-09
7.28	5.407722e-09	5.625709e-09
7.32	9.936129e-09	1.031825e-08
7.36	1.664292e-08	1.729154e-08
7.40	2.620923e-08	2.728061e-08
7.44	3.940145e-08	4.110455e-08
7.48	5.666476e-08	5.920242e-08
7.52	7.772814e-08	8.125719e-08
7.56	1.020478e-07	1.066677e-07
7.60	1.294956e-07	1.352510e-07
7.64	1.607403e-07	1.676501e-07
7.68	1.972916e-07	2.053697e-07
7.72	2.413618e-07	2.506535e-07
7.76	2.956855e-07	3.063413e-07
7.80	3.629350e-07	3.752039e-07
7.84	4.449163e-07	4.590794e-07
7.88	5.431473e-07	5.595520e-07
7.92	6.590502e-07	6.780599e-07
7.96	7.929695e-07	8.148274e-07
8.00	9.450953e-07	9.699771e-07
8.04	1.116800e-06	1.144925e-06
8.08	1.310162e-06	1.341855e-06
8.12	1.526546e-06	1.562080e-06
8.16	1.765941e-06	1.805359e-06
8.20	2.026587e-06	2.069601e-06
8.24	2.305766e-06	2.351626e-06
8.28	2.600933e-06	2.648398e-06
8.32	2.908467e-06	2.955959e-06
8.36	3.224030e-06	3.269634e-06
8.40	3.544132e-06	3.585409e-06
8.44	3.864583e-06	3.898635e-06
8.48	4.179121e-06	4.202846e-06
8.52	4.482203e-06	4.492202e-06
8.56	4.770284e-06	4.762751e-06
8.60	5.041254e-06	5.012297e-06
8.64	5.295052e-06	5.240984e-06
8.68	5.532262e-06	5.449759e-06
8.72	5.753142e-06	5.639561e-06
8.76	5.959156e-06	5.812505e-06
8.80	6.152940e-06	5.971989e-06
8.84	6.338069e-06	6.122627e-06
8.88	6.518847e-06	6.269560e-06
8.92	6.700132e-06	6.418391e-06
8.96	6.888345e-06	6.576453e-06
9.00	7.091825e-06	6.752945e-06
9.04	7.322750e-06	6.960889e-06
9.08	7.597397e-06	7.217489e-06
9.12	7.931952e-06	7.539762e-06
9.16	8.339780e-06	7.941507e-06
9.20	8.833197e-06	8.435308e-06
9.24	9.425410e-06	9.034784e-06
9.28	1.012873e-05	9.752250e-06
9.32	1.095184e-05	1.059557e-05
9.36	1.190586e-05	1.157462e-05
9.40	1.300454e-05	1.270167e-05
9.44	1.427223e-05	1.399996e-05
9.48	1.577477e-05	1.553555e-05
9.52	1.761534e-05	1.741352e-05
