# Photo-pion interaction rate with the cosmic infrared and optical background radiation model of Kneiske et al. 2004
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	2.006151e-15	2.461433e-15
6.76	4.523518e-13	4.642174e-13
6.80	3.902575e-12	3.977384e-12
6.84	1.504015e-11	1.531759e-11
6.88	4.456101e-11	4.538333e-11
6.92	1.143620e-10	1.165597e-10
6.96	2.569046e-10	2.621100e-10
7.00	5.316751e-10	5.431738e-10
7.04	1.027988e-09	1.051996e-09
7.08	1.878409e-09	1.925920e-09
7.12	3.296370e-09	3.385564e-09
7.16	5.553613e-09	5.713005e-09
7.20	8.980421e-09	9.252257e-09
7.24	1.395039e-08	1.439344e-08
7.28	2.086946e-08	2.156287e-08
7.32	3.017058e-08	3.121593e-08
7.36	4.227018e-08	4.379149e-08
7.40	5.756761e-08	5.970887e-08
7.44	7.631578e-08	7.922451e-08
7.48	9.861347e-08	1.024238e-07
7.52	1.246595e-07	1.294799e-07
7.56	1.547429e-07	1.606462e-07
7.60	1.894003e-07	1.964269e-07
7.64	2.296697e-07	2.378357e-07
7.68	2.769801e-07	2.862981e-07
7.72	3.333879e-07	3.439022e-07
7.76	4.014857e-07	4.132963e-07
7.80	4.842054e-07	4.975128e-07
7.84	5.847681e-07	5.998913e-07
7.88	7.062777e-07	7.236390e-07
7.92	8.519783e-07	8.721307e-07
7.96	1.024969e-06	1.048583e-06
8.00	1.228168e-06	1.256012e-06
8.04	1.464536e-06	1.497430e-06
8.08	1.736286e-06	1.775003e-06
8.12	2.045232e-06	2.090442e-06
8.16	2.392448e-06	2.444584e-06
8.20	2.777772e-06	2.836953e-06
8.24	3.199989e-06	3.265967e-06
8.28	3.656295e-06	3.728251e-06
8.32	4.142466e-06	4.218971e-06
8.36	4.652818e-06	4.731748e-06
8.40	5.179699e-06	5.258056e-06
8.44	5.713871e-06	5.787818e-06
8.48	6.245055e-06	6.309807e-06
8.52	6.762332e-06	6.812142e-06
8.56	7.256712e-06	7.285195e-06
8.60	7.722332e-06	7.722646e-06
8.64	8.155289e-06	8.120523e-06
8.68	8.554118e-06	8.477660e-06
8.72	8.918838e-06	8.794492e-06
8.76	9.251573e-06	9.074119e-06
8.80	9.557972e-06	9.323470e-06
8.84	9.846105e-06	9.552140e-06
8.88	1.012614e-05	9.772308e-06
8.92	1.041035e-05	9.998199e-06
8.96	1.071274e-05	1.024591e-05
9.00	1.104767e-05	1.053197e-05
9.04	1.142946e-05	1.087262e-05
9.08	1.187057e-05	1.128169e-05
9.12	1.238051e-05	1.176933e-05
9.16	1.296676e-05	1.234316e-05
9.20	1.363198e-05	1.300535e-05
9.24	1.437513e-05	1.375392e-05
9.28	1.519335e-05	1.458436e-05
9.32	1.607956e-05	1.548713e-05
9.36	1.702568e-05	1.645142e-05
9.40	1.802547e-05	1.746793e-05
9.44	1.907470e-05	1.852956e-05
9.48	2.018119e-05	1.964198e-05
9.52	2.136770e-05	2.082635e-05
