# Photo-pion interaction rate with the cosmic infrared and optical background radiation lower limit model of Kneiske et al. 2010
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	0.000000e+00	0.000000e+00
6.80	0.000000e+00	0.000000e+00
6.84	0.000000e+00	0.000000e+00
6.88	1.957789e-12	1.816770e-12
6.92	2.109914e-11	2.069229e-11
6.96	8.564911e-11	8.547222e-11
7.00	2.362359e-10	2.378258e-10
7.04	5.298977e-10	5.363723e-10
7.08	1.050467e-09	1.067723e-09
7.12	1.926406e-09	1.964960e-09
7.16	3.348872e-09	3.427041e-09
7.20	5.569304e-09	5.717812e-09
7.24	8.847171e-09	9.110379e-09
7.28	1.342673e-08	1.385994e-08
7.32	1.955878e-08	2.022772e-08
7.36	2.752232e-08	2.850541e-08
7.40	3.762774e-08	3.901672e-08
7.44	5.018493e-08	5.208072e-08
7.48	6.541185e-08	6.791562e-08
7.52	8.349881e-08	8.670060e-08
7.56	1.046944e-07	1.086649e-07
7.60	1.293743e-07	1.341663e-07
7.64	1.581459e-07	1.638018e-07
7.68	1.919496e-07	1.985068e-07
7.72	2.320025e-07	2.395018e-07
7.76	2.795835e-07	2.880857e-07
7.80	3.363090e-07	3.459230e-07
7.84	4.039753e-07	4.148714e-07
7.88	4.840766e-07	4.964726e-07
7.92	5.780243e-07	5.921749e-07
7.96	6.871958e-07	7.033858e-07
8.00	8.123808e-07	8.308994e-07
8.04	9.537163e-07	9.747948e-07
8.08	1.111552e-06	1.135349e-06
8.12	1.286025e-06	1.312604e-06
8.16	1.476291e-06	1.505511e-06
8.20	1.681198e-06	1.712657e-06
8.24	1.899510e-06	1.932578e-06
8.28	2.128977e-06	2.162731e-06
8.32	2.366839e-06	2.399972e-06
8.36	2.610438e-06	2.641318e-06
8.40	2.855950e-06	2.882638e-06
8.44	3.098920e-06	3.119095e-06
8.48	3.335411e-06	3.346361e-06
8.52	3.561659e-06	3.560576e-06
8.56	3.774725e-06	3.758805e-06
8.60	3.973099e-06	3.939423e-06
8.64	4.155766e-06	4.101618e-06
8.68	4.322298e-06	4.245388e-06
8.72	4.473419e-06	4.371720e-06
8.76	4.610568e-06	4.482475e-06
8.80	4.736099e-06	4.580745e-06
8.84	4.854546e-06	4.671763e-06
8.88	4.973207e-06	4.763599e-06
8.92	5.100961e-06	4.866198e-06
8.96	5.247835e-06	4.990697e-06
9.00	5.424429e-06	5.148651e-06
9.04	5.640232e-06	5.350319e-06
9.08	5.902074e-06	5.603036e-06
9.12	6.215617e-06	5.912744e-06
9.16	6.587090e-06	6.285783e-06
9.20	7.020244e-06	6.725737e-06
9.24	7.515095e-06	7.232162e-06
9.28	8.068039e-06	7.800475e-06
9.32	8.670521e-06	8.420486e-06
9.36	9.311998e-06	9.079705e-06
9.40	9.984080e-06	9.767552e-06
9.44	1.068088e-05	1.047605e-05
9.48	1.140270e-05	1.120383e-05
