# Photo-pion interaction rate with the cosmic infrared and optical background radiation model of Stecker at al. 2005
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.00	0.000000e+00	0.000000e+00
6.04	0.000000e+00	0.000000e+00
6.08	0.000000e+00	0.000000e+00
6.12	0.000000e+00	0.000000e+00
6.16	0.000000e+00	0.000000e+00
6.20	0.000000e+00	0.000000e+00
6.24	0.000000e+00	0.000000e+00
6.28	0.000000e+00	0.000000e+00
6.32	0.000000e+00	0.000000e+00
6.36	0.000000e+00	0.000000e+00
6.40	0.000000e+00	0.000000e+00
6.44	0.000000e+00	0.000000e+00
6.48	0.000000e+00	0.000000e+00
6.52	0.000000e+00	0.000000e+00
6.56	0.000000e+00	0.000000e+00
6.60	0.000000e+00	0.000000e+00
6.64	0.000000e+00	0.000000e+00
6.68	0.000000e+00	0.000000e+00
6.72	0.000000e+00	0.000000e+00
6.76	0.000000e+00	0.000000e+00
6.80	0.000000e+00	0.000000e+00
6.84	0.000000e+00	0.000000e+00
6.88	0.000000e+00	0.000000e+00
6.92	0.000000e+00	0.000000e+00
6.96	0.000000e+00	0.000000e+00
7.00	0.000000e+00	0.000000e+00
7.04	0.000000e+00	0.000000e+00
7.08	0.000000e+00	0.000000e+00
7.12	0.000000e+00	0.000000e+00
7.16	0.000000e+00	0.000000e+00
7.20	0.000000e+00	0.000000e+00
7.24	0.000000e+00	0.000000e+00
7.28	0.000000e+00	0.000000e+00
7.32	0.000000e+00	0.000000e+00
7.36	0.000000e+00	0.000000e+00
7.40	0.000000e+00	0.000000e+00
7.44	0.000000e+00	0.000000e+00
7.48	0.000000e+00	0.000000e+00
7.52	0.000000e+00	0.000000e+00
7.56	0.000000e+00	0.000000e+00
7.60	0.000000e+00	0.000000e+00
7.64	0.000000e+00	0.000000e+00
7.68	0.000000e+00	0.000000e+00
7.72	0.000000e+00	0.000000e+00
7.76	0.000000e+00	0.000000e+00
7.80	0.000000e+00	0.000000e+00
7.84	0.000000e+00	0.000000e+00
7.88	0.000000e+00	0.000000e+00
7.92	0.000000e+00	0.000000e+00
7.96	0.000000e+00	0.000000e+00
8.00	0.000000e+00	0.000000e+00
8.04	0.000000e+00	0.000000e+00
8.08	0.000000e+00	0.000000e+00
8.12	0.000000e+00	0.000000e+00
8.16	0.000000e+00	0.000000e+00
8.20	2.270645e-09	2.067480e-09
8.24	2.065234e-08	1.995730e-08
8.28	7.055914e-08	6.955896e-08
8.32	1.642953e-07	1.637204e-07
8.36	3.134133e-07	3.146160e-07
8.40	5.329073e-07	5.380588e-07
8.44	8.455284e-07	8.581458e-07
8.48	1.280681e-06	1.306705e-06
8.52	1.858688e-06	1.907490e-06
8.56	2.550286e-06	2.631715e-06
8.60	3.294483e-06	3.413457e-06
8.64	4.049027e-06	4.205072e-06
8.68	4.796114e-06	4.985704e-06
8.72	5.531967e-06	5.749379e-06
8.76	6.267274e-06	6.503517e-06
8.80	7.016442e-06	7.260152e-06
8.84	7.792485e-06	8.031641e-06
8.88	8.613182e-06	8.835265e-06
8.92	9.476340e-06	9.671011e-06
8.96	1.036987e-05	1.052751e-05
9.00	1.130081e-05	1.140806e-05
9.04	1.227846e-05	1.232150e-05
9.08	1.330124e-05	1.327593e-05
9.12	1.437127e-05	1.427974e-05
9.16	1.549609e-05	1.534254e-05
9.20	1.668460e-05	1.647390e-05
9.24	1.794450e-05	1.768156e-05
9.28	1.928295e-05	1.897236e-05
9.32	2.070823e-05	2.035398e-05
9.36	2.223009e-05	2.183544e-05
9.40	2.386023e-05	2.342764e-05
9.44	2.561342e-05	2.514453e-05
9.48	2.750949e-05	2.700524e-05
9.52	2.957648e-05	2.903737e-05
