# Inverse mean free path for photo-pion interactions with the Radio background model of Biermann et al. 1996
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
12.68	2.028274e-10	2.078685e-10
12.72	2.849320e-09	2.896362e-09
12.76	1.127713e-08	1.146950e-08
12.80	2.821814e-08	2.874648e-08
12.84	5.608836e-08	5.726508e-08
12.88	9.788944e-08	1.002214e-07
12.92	1.581849e-07	1.624784e-07
12.96	2.433574e-07	2.509045e-07
13.00	3.594655e-07	3.721440e-07
13.04	5.045869e-07	5.242727e-07
13.08	6.679747e-07	6.956814e-07
13.12	8.409843e-07	8.768280e-07
13.16	1.021310e-06	1.064926e-06
13.20	1.209852e-06	1.260644e-06
13.24	1.409894e-06	1.466812e-06
13.28	1.625480e-06	1.686959e-06
13.32	1.860103e-06	1.924395e-06
13.36	2.118150e-06	2.183371e-06
13.40	2.401810e-06	2.466196e-06
13.44	2.708869e-06	2.770905e-06
13.48	3.038296e-06	3.095721e-06
13.52	3.390534e-06	3.440137e-06
13.56	3.766007e-06	3.805910e-06
13.60	4.167152e-06	4.197048e-06
13.64	4.597513e-06	4.617561e-06
13.68	5.060902e-06	5.071196e-06
13.72	5.560826e-06	5.561402e-06
13.76	6.099879e-06	6.090554e-06
13.80	6.680416e-06	6.660917e-06
13.84	7.304718e-06	7.274713e-06
13.88	7.975517e-06	7.934552e-06
13.92	8.696624e-06	8.643947e-06
13.96	9.473298e-06	9.408002e-06
14.00	1.030995e-05	1.023143e-05
