# Inverse mean free path for photo-pion interactions with the CMB
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
10.16	1.075960e-10	1.096672e-10
10.20	7.758105e-10	7.901668e-10
10.24	4.637431e-09	4.721824e-09
10.28	2.388447e-08	2.431984e-08
10.32	1.071658e-07	1.091110e-07
10.36	4.192677e-07	4.269671e-07
10.40	1.455665e-06	1.482795e-06
10.44	4.546713e-06	4.633317e-06
10.48	1.287651e-05	1.312809e-05
10.52	3.327481e-05	3.394671e-05
10.56	7.913978e-05	8.080110e-05
10.60	1.750189e-04	1.788580e-04
10.64	3.619084e-04	3.702441e-04
10.68	7.041201e-04	7.212205e-04
10.72	1.296051e-03	1.329344e-03
10.76	2.267956e-03	2.329683e-03
10.80	3.788904e-03	3.898184e-03
10.84	6.064713e-03	6.249814e-03
10.88	9.329216e-03	9.629648e-03
10.92	1.382737e-02	1.429519e-02
10.96	1.979125e-02	2.049086e-02
11.00	2.741010e-02	2.841596e-02
11.04	3.680146e-02	3.819296e-02
11.08	4.798613e-02	4.984006e-02
11.12	6.087566e-02	6.325638e-02
11.16	7.526958e-02	7.821743e-02
11.20	9.087536e-02	9.439609e-02
11.24	1.073297e-01	1.113845e-01
11.28	1.242347e-01	1.287327e-01
11.32	1.411893e-01	1.459847e-01
11.36	1.578185e-01	1.627113e-01
11.40	1.737937e-01	1.785338e-01
11.44	1.888428e-01	1.931454e-01
11.48	2.027544e-01	2.063064e-01
11.52	2.153724e-01	2.178544e-01
11.56	2.265926e-01	2.276959e-01
11.60	2.363493e-01	2.357942e-01
11.64	2.446158e-01	2.421679e-01
11.68	2.513885e-01	2.468730e-01
11.72	2.566982e-01	2.500057e-01
11.76	2.605878e-01	2.516813e-01
11.80	2.631273e-01	2.520381e-01
11.84	2.644017e-01	2.512230e-01
11.88	2.645079e-01	2.493897e-01
11.92	2.635596e-01	2.466899e-01
11.96	2.616821e-01	2.432793e-01
12.00	2.589993e-01	2.392987e-01
12.04	2.556377e-01	2.348798e-01
12.08	2.517253e-01	2.301481e-01
12.12	2.473814e-01	2.252107e-01
12.16	2.427211e-01	2.201656e-01
12.20	2.378457e-01	2.150929e-01
12.24	2.328463e-01	2.100631e-01
12.28	2.278026e-01	2.051320e-01
12.32	2.227847e-01	2.003455e-01
12.36	2.178441e-01	1.957350e-01
12.40	2.130276e-01	1.913276e-01
12.44	2.083681e-01	1.871382e-01
12.48	2.038920e-01	1.831783e-01
12.52	1.996150e-01	1.794493e-01
12.56	1.955501e-01	1.759530e-01
12.60	1.917017e-01	1.726855e-01
12.64	1.880719e-01	1.696403e-01
12.68	1.846580e-01	1.668090e-01
12.72	1.814562e-01	1.641830e-01
12.76	1.784609e-01	1.617526e-01
12.80	1.756637e-01	1.595074e-01
12.84	1.730566e-01	1.574372e-01
12.88	1.706313e-01	1.555326e-01
12.92	1.683788e-01	1.537837e-01
12.96	1.662903e-01	1.521815e-01
13.00	1.643568e-01	1.507169e-01
13.04	1.625702e-01	1.493818e-01
13.08	1.609220e-01	1.481684e-01
13.12	1.594041e-01	1.470691e-01
13.16	1.580093e-01	1.460769e-01
13.20	1.567302e-01	1.451853e-01
13.24	1.555600e-01	1.443881e-01
13.28	1.544924e-01	1.436796e-01
13.32	1.535213e-01	1.430545e-01
13.36	1.526412e-01	1.425078e-01
13.40	1.518469e-01	1.420349e-01
13.44	1.511335e-01	1.416314e-01
13.48	1.504965e-01	1.412935e-01
13.52	1.499318e-01	1.410176e-01
13.56	1.494357e-01	1.408003e-01
13.60	1.490044e-01	1.406386e-01
13.64	1.486350e-01	1.405296e-01
13.68	1.483243e-01	1.404717e-01
13.72	1.480697e-01	1.404598e-01
13.76	1.478687e-01	1.404945e-01
13.80	1.477190e-01	1.405730e-01
13.84	1.476185e-01	1.406934e-01
13.88	1.475653e-01	1.408540e-01
13.92	1.475576e-01	1.410534e-01
13.96	1.475938e-01	1.412902e-01
14.00	1.476723e-01	1.415632e-01
