# Inverse mean free path for photo-pion interactions with the IRO model of Kneiske et al. 2004
# log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
6.92	1.154400e-10	1.177056e-10
6.96	2.588438e-10	2.642749e-10
7.00	5.348470e-10	5.468489e-10
7.04	1.032925e-09	1.057813e-09
7.08	1.887042e-09	1.935839e-09
7.12	3.309116e-09	3.400027e-09
7.16	5.571877e-09	5.733453e-09
7.20	9.005852e-09	9.280371e-09
7.24	1.398644e-08	1.443263e-08
7.28	2.091630e-08	2.161308e-08
7.32	3.022966e-08	3.127813e-08
7.36	4.234262e-08	4.386641e-08
7.40	5.765440e-08	5.979762e-08
7.44	7.641691e-08	7.932774e-08
7.48	9.873619e-08	1.025496e-07
7.52	1.247974e-07	1.296220e-07
7.56	1.548930e-07	1.608019e-07
7.60	1.895679e-07	1.966037e-07
7.64	2.298804e-07	2.380609e-07
7.68	2.772381e-07	2.865770e-07
7.72	3.336991e-07	3.442407e-07
7.76	4.018425e-07	4.136883e-07
7.80	4.846300e-07	4.979825e-07
7.84	5.852652e-07	6.004468e-07
7.88	7.068807e-07	7.243172e-07
7.92	8.527140e-07	8.729553e-07
7.96	1.025807e-06	1.049508e-06
8.00	1.229068e-06	1.256984e-06
8.04	1.465572e-06	1.498518e-06
8.08	1.737522e-06	1.776280e-06
8.12	2.046646e-06	2.091897e-06
8.16	2.393917e-06	2.446111e-06
8.20	2.779332e-06	2.838600e-06
8.24	3.201633e-06	3.267720e-06
8.28	3.658026e-06	3.730091e-06
8.32	4.144337e-06	4.220951e-06
8.36	4.654775e-06	4.733794e-06
8.40	5.181613e-06	5.260019e-06
8.44	5.715639e-06	5.789581e-06
8.48	6.246813e-06	6.311558e-06
8.52	6.764104e-06	6.813921e-06
8.56	7.258387e-06	7.286868e-06
8.60	7.723781e-06	7.724057e-06
8.64	8.156518e-06	8.121722e-06
8.68	8.555274e-06	8.478781e-06
8.72	8.920022e-06	8.795644e-06
8.76	9.252828e-06	9.075360e-06
8.80	9.559192e-06	9.324704e-06
8.84	9.847420e-06	9.553446e-06
8.88	1.012763e-05	9.773809e-06
8.92	1.041208e-05	1.000002e-05
8.96	1.071478e-05	1.024811e-05
9.00	1.105003e-05	1.053446e-05
9.04	1.143194e-05	1.087525e-05
9.08	1.187330e-05	1.128458e-05
9.12	1.238356e-05	1.177257e-05
9.16	1.297011e-05	1.234673e-05
9.20	1.363547e-05	1.300913e-05
9.24	1.437867e-05	1.375783e-05
9.28	1.519682e-05	1.458821e-05
9.32	1.608318e-05	1.549114e-05
9.36	1.702984e-05	1.645602e-05
9.40	1.802978e-05	1.747268e-05
9.44	1.907890e-05	1.853415e-05
9.48	2.018514e-05	1.964634e-05
9.52	2.137207e-05	2.083132e-05
9.56	2.268265e-05	2.213180e-05
9.60	2.418506e-05	2.361738e-05
9.64	2.596251e-05	2.537390e-05
9.68	2.814660e-05	2.753812e-05
9.72	3.094361e-05	3.032466e-05
9.76	3.463052e-05	3.402275e-05
9.80	3.959347e-05	3.903514e-05
9.84	4.630111e-05	4.585030e-05
9.88	5.533550e-05	5.507398e-05
9.92	6.744623e-05	6.748420e-05
9.96	8.343524e-05	8.391820e-05
10.00	1.041017e-04	1.052189e-04
10.04	1.301196e-04	1.320822e-04
10.08	1.620086e-04	1.650674e-04
10.12	2.001034e-04	2.045146e-04
